step,time,temp,ke,pe,etot,press
9100,4.550000e+01,1.146499e+00,4.402557e+02,-1.297579e+03,-8.573237e+02,1.935064e+00
9200,4.600000e+01,1.127302e+00,4.328840e+02,-1.289071e+03,-8.561869e+02,2.184046e+00
9300,4.650000e+01,1.142210e+00,4.386085e+02,-1.295825e+03,-8.572163e+02,2.156161e+00
9400,4.700000e+01,1.121688e+00,4.307284e+02,-1.288074e+03,-8.573460e+02,2.233692e+00
9500,4.750000e+01,1.116737e+00,4.288269e+02,-1.285985e+03,-8.571580e+02,2.102928e+00
9600,4.800000e+01,1.107540e+00,4.252954e+02,-1.282248e+03,-8.569524e+02,2.331420e+00
9700,4.850000e+01,1.137749e+00,4.368957e+02,-1.293830e+03,-8.569341e+02,2.013642e+00
9800,4.900000e+01,1.133142e+00,4.351265e+02,-1.292875e+03,-8.577487e+02,2.132840e+00
9900,4.950000e+01,1.096363e+00,4.210034e+02,-1.278121e+03,-8.571178e+02,2.352647e+00
10000,5.000000e+01,1.103877e+00,4.238887e+02,-1.280931e+03,-8.570425e+02,2.228760e+00
